overall,verified,reviewTime,reviewerID,asin,reviewerName,reviewText,summary,unixReviewTime,style_Style:,style_Size:,style_Color:,vote,image,style_Size Name:,style_Style Name:,style_Package Quantity:,review_length,sentiment
5.0,False,"03 26, 2015",A2OP8DEIIUESP,B00JGTUQJ6,Chris,Worked great. Tastes the same as the more expensive brand filters,Tastes great less cost,1427328000,,,,2,,,,,65,Positive
5.0,True,"03 3, 2016",A2V0JXLJ9VCNNX,B00MGMWTQS,Amazon Customer,JUST RIGHT...,Five Stars,1456963200,,,,,,,,,13,Positive
5.0,True,"07 10, 2015",A3H61AMBJ177DG,B00MGMWTQS,Randy Bailey,as advertised,Five Stars,1436486400,,,,,,,,,13,Positive
5.0,True,"07 4, 2015",A6FPI5CM4W5WB,B00MGMWTQS,Tim Veteto,Great,Great,1435968000,,,,,,,,,5,Positive
5.0,True,"12 3, 2014",A11SCLK8GDDN3C,B00MGMWTQS,mrclobhead,"All was fine, product was as advertised.",Five Stars,1417564800,,,,,,,,,40,Positive
5.0,True,"08 11, 2014",AVGG8CYK8K312,B00MGMWTQS,Larry,Very satisfied I love these prices and prompt  courteous service,Five Stars,1407715200,,,,,,,,,64,Positive
5.0,True,"11 13, 2013",A1EUO0BU72JR7T,B00MGMWTQS,Bilbo,"The all-plastic insert ones are better than the ones with the metal ones - I used one of the metal inserts ones and after a short while the insert just spun inside of the coupler, which made me have to replace it AND pry off the metal insert from the shaft, which was the most annoying part.","Great coupler - use the all-plastic ones, not the ones with the metal spline insert...",1384300800,,,,,,,,,291,Positive
5.0,True,"02 28, 2018",A23KSPVPHZF6EO,B00P9C66PM,Angela Samos Guardia,"This works great, wonderful product it worked good.",Five Stars,1519776000,,,,,,,,,51,Positive
5.0,True,"01 5, 2016",A2V0JXLJ9VCNNX,B00P9C66PM,Amazon Customer,WASHER SPINNING NOW.,Five Stars,1451952000,,,,,,,,,20,Positive
5.0,True,"08 13, 2015",A37DQO5LU8DXTV,B00P9C66PM,Easy Appliance,Good job,Five Stars,1439424000,,,,,,,,,8,Positive
5.0,True,"07 27, 2015",AFUVGAUNQVT0S,B00P9C66PM,Brian M.,the spin clutch is a wear part on WP built top loaders so this clutch kit takes care of a slow spin issue and at a great price.,... care of a slow spin issue and at a great price.,1437955200,,,,,,,,,127,Positive
5.0,True,"07 4, 2015",A13391AZAFJ67K,B00P9C66PM,Fred A,good,Five Stars,1435968000,,,,,,,,,4,Positive
5.0,True,"03 21, 2015",A2CIEGHZ7L1WWR,B00P9C66PM,albert j. kong,Price and delivery was excellent.,Five Stars,1426896000,,,,,,,,,33,Positive
5.0,True,"07 10, 2015",A3H61AMBJ177DG,B00W4YKCGC,Randy Bailey,as advertised.,Five Stars,1436486400,,,,,,,,,14,Positive
5.0,True,"11 20, 2014",A37DQO5LU8DXTV,B00W4YKCGC,Easy Appliance,Good,Five Stars,1416441600,,,,,,,,,4,Positive
5.0,True,"08 29, 2014",A1H2V1GNEY4LZ0,B00W4YKCGC,Handyman,Work perfectly and on time!,Could not beat the great price and fast delivery!,1409270400,,,,,,,,,27,Positive
5.0,True,"08 11, 2014",AVGG8CYK8K312,B00W4YKCGC,Larry,I use these regular on my jobs I love the pricing too,Five Stars,1407715200,,,,,,,,,53,Positive
5.0,True,"10 15, 2016",A13391AZAFJ67K,B00570RQ0A,Fred A,good,Five Stars,1476489600,,,,,,,,,4,Positive
5.0,True,"01 5, 2016",A2V0JXLJ9VCNNX,B00570RQ0A,Amazon Customer,washer washing,Five Stars,1451952000,,,,,,,,,14,Positive
5.0,True,"12 5, 2016",A3GP2HMB2AFOKF,B00W4YKCGC,Juan,Great product fast shipping,Five Stars,1480896000,,,,,,,,,27,Positive
